ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Cost_to_Weight_ratio,Cost*Weight,Discount_Ratio,CareCalls_to_Purchases,CostWeight_Discount_Interaction,Reached.on.Time_Y.N
3626,3,4,165,2,2,0,8,4280,0,0,0,1,0,1,0.038551401869158876,706200,0.048484848484848485,1.0,0.3469626168224299,1
2788,5,4,264,10,2,0,34,2960,1,0,0,0,0,1,0.0891891891891892,781440,0.12878787878787878,0.45454545454545453,3.121621621621622,1
1117,4,2,182,3,1,1,58,3943,0,0,1,0,0,1,0.0461577479076845,717626,0.31868131868131866,1.0,2.7233071265533857,1
3708,5,4,142,2,0,1,7,5341,0,0,0,1,0,0,0.026586781501591463,758422,0.04929577464788732,1.6666666666666667,0.2126942520127317,0
7521,3,5,204,2,1,1,1,4133,0,0,0,0,1,0,0.049358819259617714,843132,0.004901960784313725,1.0,0.09871763851923543,0
3344,5,1,255,3,2,0,6,5715,0,0,0,1,0,1,0.04461942257217848,1457325,0.023529411764705882,1.25,0.3123359580052493,0
134,5,4,280,6,2,0,51,3582,0,0,0,1,0,0,0.07816862088218872,1002960,0.18214285714285713,0.7142857142857143,4.0647682858738134,1
2575,4,1,189,2,2,0,63,3474,0,0,1,0,0,1,0.054404145077720206,656586,0.3333333333333333,1.3333333333333333,3.481865284974093,1
2752,5,3,225,7,2,0,45,3162,1,0,0,0,0,0,0.07115749525616698,711450,0.2,0.625,3.273244781783681,1
2934,6,3,273,4,2,0,32,2532,0,0,0,1,0,1,0.10781990521327015,691236,0.11721611721611722,1.2,3.558056872037915,1
5275,7,5,292,5,1,1,5,1932,0,0,1,0,0,1,0.15113871635610765,564144,0.017123287671232876,1.1666666666666667,0.9068322981366459,1
6947,3,2,204,4,2,1,7,4768,0,1,0,0,0,1,0.04278523489932886,972672,0.03431372549019608,0.6,0.3422818791946309,0
1381,6,5,118,2,1,0,6,1726,0,0,1,0,0,0,0.06836616454229433,203668,0.05084745762711865,2.0,0.4785631517960603,1
3185,4,3,159,5,1,1,4,4666,0,1,0,0,0,1,0.034076296613801974,741894,0.025157232704402517,0.6666666666666666,0.17038148306900985,1
4042,5,5,243,2,1,1,9,4669,1,0,0,0,0,1,0.05204540586849432,1134567,0.037037037037037035,1.6666666666666667,0.5204540586849432,1
7846,3,1,226,3,0,1,2,4831,1,0,0,0,0,1,0.04678120471951977,1091806,0.008849557522123894,0.75,0.1403436141585593,1
2125,3,2,250,5,1,0,36,2717,0,0,1,0,0,1,0.09201324990798675,679250,0.144,0.5,3.40449024659551,1
2770,3,3,178,3,0,1,43,1517,1,0,0,0,0,1,0.11733684904416612,270026,0.24157303370786518,0.75,5.16282135794331,1
5354,4,3,167,3,2,0,1,4621,0,0,0,1,0,0,0.036139363774074874,771707,0.005988023952095809,1.0,0.07227872754814975,1
1225,3,3,218,2,2,1,9,2069,0,0,1,0,1,0,0.10536491058482358,451042,0.04128440366972477,1.0,1.0536491058482358,1
1027,3,1,138,5,2,0,8,1349,0,0,1,0,0,1,0.10229799851742032,186162,0.057971014492753624,0.5,0.9206819866567828,1
6470,5,3,189,5,1,1,7,4869,0,0,0,1,0,1,0.038817005545286505,920241,0.037037037037037035,0.8333333333333334,0.31053604436229204,0
1503,3,4,135,3,1,1,11,1740,0,0,0,0,0,0,0.07758620689655173,234900,0.08148148148148149,0.75,0.9310344827586208,1
8564,3,2,177,2,0,1,9,4648,0,0,0,1,0,1,0.03808089500860585,822696,0.05084745762711865,1.0,0.3808089500860585,0
8133,4,4,247,2,2,1,9,5095,0,0,0,0,0,1,0.048478900883218844,1258465,0.03643724696356275,1.3333333333333333,0.48478900883218845,0
8305,3,2,245,3,2,0,7,4121,0,0,1,0,0,1,0.05945158942004368,1009645,0.02857142857142857,0.75,0.47561271536034944,0
2759,5,5,149,7,2,0,50,1346,0,1,0,0,0,1,0.11069836552748885,200554,0.33557046979865773,0.625,5.645616641901931,1
2080,5,4,228,3,2,1,42,3145,1,0,0,0,0,1,0.0724960254372019,717060,0.18421052631578946,1.25,3.117329093799682,1
3827,4,3,180,3,1,1,7,5718,0,1,0,0,1,0,0.03147953830010493,1029240,0.03888888888888889,1.0,0.2518363064008394,0
8706,3,1,204,3,2,1,4,4619,0,0,0,1,0,1,0.044165403767049145,942276,0.0196078431372549,0.75,0.22082701883524572,1
442,5,3,190,3,0,1,45,2628,1,0,0,0,0,1,0.07229832572298325,499320,0.23684210526315788,1.25,3.3257229832572297,1
9170,6,1,277,5,1,0,2,1190,0,0,0,1,1,0,0.23277310924369748,329630,0.007220216606498195,1.0,0.6983193277310924,1
4826,3,4,269,3,2,1,9,5133,0,0,0,1,0,1,0.05240600038963569,1380777,0.03345724907063197,0.75,0.524060003896357,1
2193,4,4,252,3,2,0,7,2477,0,0,0,0,0,0,0.10173597093257973,624204,0.027777777777777776,1.0,0.8138877674606378,1
9562,4,1,234,3,1,1,2,4282,1,0,0,0,0,1,0.05464736104624007,1001988,0.008547008547008548,1.0,0.16394208313872022,0
10874,5,1,190,2,1,1,9,5226,0,0,0,1,0,1,0.03635667814772292,992940,0.04736842105263158,1.6666666666666667,0.3635667814772292,0
9705,5,2,272,5,1,1,8,1317,0,0,0,0,1,0,0.20652999240698558,358224,0.029411764705882353,0.8333333333333334,1.8587699316628703,0
2766,5,5,226,3,1,1,50,2348,0,0,0,1,0,1,0.09625212947189098,530648,0.22123893805309736,1.25,4.90885860306644,1
3703,5,3,151,2,1,1,8,4749,0,0,1,0,0,0,0.03179616761423457,717099,0.052980132450331126,1.6666666666666667,0.2861655085281112,0
2429,4,5,192,3,2,0,41,3873,0,1,0,0,0,1,0.049573973663826494,743616,0.21354166666666666,1.0,2.0821068938807126,1
9341,3,2,177,3,1,0,5,5941,0,1,0,0,0,1,0.029792964147449925,1051557,0.02824858757062147,0.75,0.17875778488469957,0
2743,3,3,178,3,0,1,12,1900,0,0,1,0,0,0,0.09368421052631579,338200,0.06741573033707865,0.75,1.2178947368421051,1
5285,7,4,305,4,2,0,6,1873,0,1,0,0,0,1,0.1628403630539242,571265,0.019672131147540985,1.4,1.1398825413774694,0
4979,4,1,161,6,1,0,2,5734,0,1,0,0,0,1,0.02807813044994768,923174,0.012422360248447204,0.5714285714285714,0.08423439134984304,0
7463,5,1,255,5,2,1,9,1156,0,1,0,0,0,1,0.22058823529411764,294780,0.03529411764705882,0.8333333333333334,2.2058823529411766,1
10240,5,2,218,3,1,1,4,5363,1,0,0,0,0,1,0.040648890546336004,1169134,0.01834862385321101,1.25,0.20324445273168001,1
430,5,1,205,2,2,1,27,3569,1,0,0,0,0,1,0.05743905855982068,731645,0.13170731707317074,1.6666666666666667,1.608293639674979,1
8560,5,1,236,5,2,0,3,1699,1,0,0,0,0,1,0.13890523837551502,400964,0.012711864406779662,0.8333333333333334,0.5556209535020601,0
3868,4,3,218,2,2,1,6,4414,1,0,0,0,0,1,0.049388309922972363,962252,0.027522935779816515,1.3333333333333333,0.3457181694608065,1
3820,5,5,184,3,1,0,2,5800,1,0,0,0,1,0,0.031724137931034485,1067200,0.010869565217391304,1.25,0.09517241379310346,0
752,3,3,162,3,2,1,7,1901,0,0,0,1,0,1,0.08521830615465545,307962,0.043209876543209874,0.75,0.6817464492372436,1
3054,5,3,264,2,1,0,61,2025,0,0,0,1,0,1,0.13037037037037036,534600,0.23106060606060605,1.6666666666666667,8.082962962962963,1
2564,4,5,156,3,1,0,33,1836,0,0,0,1,0,1,0.08496732026143791,286416,0.21153846153846154,1.0,2.888888888888889,1
2555,5,5,264,3,2,0,23,2837,0,1,0,0,0,1,0.09305604511808248,748968,0.08712121212121213,1.25,2.2333450828339796,1
6887,6,3,278,4,0,0,3,1033,0,1,0,0,0,1,0.2691190706679574,287174,0.01079136690647482,1.2,1.0764762826718297,0
7110,6,5,247,4,2,1,7,1461,0,0,0,1,1,0,0.16906228610540724,360867,0.02834008097165992,1.2,1.352498288843258,1
7611,3,4,173,3,1,0,8,5979,0,0,0,0,0,1,0.0289346044489045,1034367,0.046242774566473986,0.75,0.2604114400401405,0
10756,4,1,300,5,2,1,6,1027,1,0,0,0,0,1,0.2921129503407984,308100,0.02,0.6666666666666666,2.044790652385589,0
162,3,1,207,3,2,0,56,3482,0,0,0,1,0,1,0.059448592762780014,720774,0.27053140096618356,0.75,3.3885697874784606,1
7622,3,4,145,4,0,1,4,5801,0,0,0,1,0,1,0.024995690398207204,841145,0.027586206896551724,0.6,0.12497845199103602,0
4596,4,2,192,4,2,0,2,5503,0,0,0,1,0,1,0.03489005996729057,1056576,0.010416666666666666,0.8,0.1046701799018717,0
10774,5,4,223,5,1,0,2,1713,1,0,0,0,0,1,0.13018096906012844,381999,0.008968609865470852,0.8333333333333334,0.3905429071803853,0
9059,3,2,227,3,0,1,5,4167,0,1,0,0,0,0,0.054475641948644106,945909,0.022026431718061675,0.75,0.32685385169186465,1
5476,4,2,192,3,2,0,3,4922,1,0,0,0,0,0,0.03900853311661926,945024,0.015625,1.0,0.15603413246647704,0
2290,3,1,238,2,2,0,50,3438,1,0,0,0,0,1,0.06922629435718441,818244,0.21008403361344538,1.0,3.530541012216405,1
3799,5,1,241,3,0,1,8,5306,0,0,1,0,0,1,0.04542027892951376,1278746,0.03319502074688797,1.25,0.40878251036562385,1
4760,6,5,255,4,1,0,9,1197,0,0,0,1,0,1,0.21303258145363407,305235,0.03529411764705882,1.2,2.1303258145363406,0
1686,4,4,162,3,2,1,41,1104,0,0,0,1,0,1,0.14673913043478262,178848,0.25308641975308643,1.0,6.16304347826087,1
10989,4,3,192,4,1,0,2,1830,0,0,0,0,0,1,0.10491803278688525,351360,0.010416666666666666,0.8,0.3147540983606557,0
1608,3,3,233,3,2,1,35,2204,0,0,0,1,0,1,0.10571687840290381,513532,0.15021459227467812,0.75,3.805807622504537,1
8354,6,1,272,4,1,0,2,1018,0,0,0,1,0,0,0.26719056974459726,276896,0.007352941176470588,1.2,0.8015717092337917,0
8894,4,1,226,5,1,1,9,1530,0,0,0,1,1,0,0.1477124183006536,345780,0.03982300884955752,0.6666666666666666,1.477124183006536,0
7945,4,1,145,3,1,1,8,5127,0,0,1,0,0,0,0.02828164618685391,743415,0.05517241379310345,1.0,0.2545348156816852,0
5262,6,4,304,4,1,0,2,1749,0,0,0,1,0,1,0.17381360777587193,531696,0.006578947368421052,1.2,0.5214408233276158,0
3697,4,4,178,6,1,0,9,5279,0,0,1,0,0,0,0.03371850729304793,939662,0.05056179775280899,0.5714285714285714,0.3371850729304793,1
6469,3,5,206,2,1,0,4,4080,0,0,1,0,0,1,0.050490196078431374,840480,0.019417475728155338,1.0,0.25245098039215685,0
5126,2,2,206,5,1,0,7,5203,0,0,0,1,0,1,0.03959254276379012,1071818,0.03398058252427184,0.3333333333333333,0.316740342110321,0
8279,3,1,186,2,1,0,1,5054,0,1,0,0,0,1,0.036802532647407994,940044,0.005376344086021506,1.0,0.07360506529481599,1
8595,2,4,245,2,2,0,10,5389,0,0,0,0,0,1,0.04546298014473928,1320305,0.04081632653061224,0.6666666666666666,0.5000927815921321,0
10107,4,2,199,3,1,1,7,5342,0,0,0,0,0,1,0.037251965555971545,1063058,0.035175879396984924,1.0,0.29801572444777236,0
3406,3,5,139,2,2,1,7,5536,1,0,0,0,1,0,0.025108381502890173,769504,0.050359712230215826,1.0,0.20086705202312138,0
9583,5,5,184,2,2,1,9,4649,0,0,1,0,1,0,0.039578403957840395,855416,0.04891304347826087,1.6666666666666667,0.39578403957840397,1
8084,4,4,175,3,1,0,6,4600,0,0,0,1,0,0,0.03804347826086957,805000,0.03428571428571429,1.0,0.266304347826087,1
1681,3,4,189,3,2,0,37,3492,0,0,1,0,0,1,0.05412371134020619,659988,0.19576719576719576,0.75,2.0567010309278353,1
882,4,5,190,2,1,1,36,3548,0,0,0,1,0,1,0.05355129650507328,674120,0.18947368421052632,1.3333333333333333,1.9813979706877114,1
2019,5,4,206,4,1,0,3,3755,0,0,0,0,0,1,0.054860186418109184,773530,0.014563106796116505,1.0,0.21944074567243674,1
9679,6,5,298,4,1,1,3,1009,0,0,1,0,0,1,0.29534192269573833,300682,0.010067114093959731,1.2,1.1813676907829533,1
1147,5,5,191,2,0,1,34,2708,0,0,1,0,0,1,0.0705317577548006,517228,0.17801047120418848,1.6666666666666667,2.468611521418021,1
1760,5,4,195,2,1,1,4,3108,0,0,0,1,1,0,0.06274131274131274,606060,0.020512820512820513,1.6666666666666667,0.3137065637065637,1
9926,6,3,247,4,2,1,7,1626,0,0,0,1,0,1,0.15190651906519065,401622,0.02834008097165992,1.2,1.2152521525215252,1
9459,5,1,271,5,1,1,4,1353,0,0,0,0,0,0,0.20029563932002956,366663,0.014760147601476014,0.8333333333333334,1.0014781966001478,0
2574,3,5,165,3,2,1,33,1500,0,0,0,1,0,1,0.11,247500,0.2,0.75,3.74,1
8447,3,1,209,2,1,0,2,4855,0,1,0,0,0,1,0.04304840370751802,1014695,0.009569377990430622,1.0,0.12914521112255406,0
9178,3,4,179,2,2,1,5,1340,1,0,0,0,0,0,0.1335820895522388,239860,0.027932960893854747,1.0,0.8014925373134327,0
2987,5,1,236,3,2,0,10,1347,0,1,0,0,0,1,0.17520415738678544,317892,0.0423728813559322,1.25,1.9272457312546398,1
1984,3,4,234,2,2,1,52,3543,1,0,0,0,0,1,0.06604572396274344,829062,0.2222222222222222,1.0,3.5004233700254024,1
3272,5,4,263,2,2,0,5,4595,0,0,0,1,1,0,0.05723612622415669,1208485,0.019011406844106463,1.6666666666666667,0.34341675734494015,0
9528,4,1,164,4,2,1,3,5318,0,0,0,1,0,1,0.030838661150808574,872152,0.018292682926829267,0.8,0.1233546446032343,1
3370,3,3,249,5,2,0,9,1752,1,0,0,0,0,1,0.1421232876712329,436248,0.03614457831325301,0.5,1.4212328767123288,0
10257,2,2,163,3,1,1,5,5887,0,0,0,0,1,0,0.027688126380159675,959581,0.03067484662576687,0.5,0.16612875828095805,0
1884,3,5,241,10,2,1,41,3015,0,0,0,1,0,1,0.07993366500829187,726615,0.17012448132780084,0.2727272727272727,3.3572139303482587,1
7071,4,3,248,6,2,1,5,4212,0,0,0,0,0,1,0.05887939221272555,1044576,0.020161290322580645,0.5714285714285714,0.3532763532763533,0
8965,5,1,185,3,2,0,7,4855,0,0,1,0,0,1,0.03810504634397528,898175,0.03783783783783784,1.25,0.30484037075180226,1
2163,6,2,195,3,2,1,30,3462,0,0,0,0,0,1,0.05632582322357019,675090,0.15384615384615385,1.5,1.7461005199306758,1
3214,3,4,210,3,1,1,10,4398,1,0,0,0,0,1,0.047748976807639835,923580,0.047619047619047616,0.75,0.5252387448840382,1
10798,4,2,251,6,1,0,3,1297,1,0,0,0,1,0,0.19352351580570548,325547,0.01195219123505976,0.5714285714285714,0.7740940632228219,0
7598,5,4,201,3,1,0,5,5137,0,0,0,1,0,1,0.03912789565894491,1032537,0.024875621890547265,1.25,0.23476737395366945,0
8628,5,2,252,5,1,0,10,1568,0,0,0,1,0,0,0.16071428571428573,395136,0.03968253968253968,0.8333333333333334,1.767857142857143,0
7998,6,1,306,4,1,0,4,1449,0,0,0,1,0,1,0.2111801242236025,443394,0.013071895424836602,1.2,1.0559006211180124,1
9428,5,2,266,5,2,1,8,1367,0,0,0,1,1,0,0.19458668617410388,363622,0.03007518796992481,0.8333333333333334,1.751280175566935,0
4012,2,4,238,3,2,1,4,5782,1,0,0,0,0,1,0.04116222760290557,1376116,0.01680672268907563,0.5,0.20581113801452783,1
2228,5,1,212,3,1,0,11,2073,0,0,0,1,0,1,0.10226724553786783,439476,0.05188679245283019,1.25,1.227206946454414,1
9685,6,1,303,4,1,0,9,1080,0,0,1,0,0,1,0.28055555555555556,327240,0.0297029702970297,1.2,2.8055555555555554,0
921,3,2,214,2,1,1,26,3503,0,0,0,0,0,1,0.06109049386240365,749642,0.12149532710280374,1.0,1.6494433342848986,1
2509,3,5,190,10,2,1,26,3244,0,0,1,0,0,1,0.058569667077681874,616360,0.1368421052631579,0.2727272727272727,1.5813810110974107,1
3662,4,1,271,2,1,0,1,4866,0,0,0,1,0,1,0.055692560624743113,1318686,0.0036900369003690036,1.3333333333333333,0.11138512124948623,0
7547,5,5,171,3,2,0,6,4209,0,1,0,0,0,0,0.040627227369921595,719739,0.03508771929824561,1.25,0.2843905915894512,1
6532,3,3,240,7,2,1,3,4385,1,0,0,0,0,1,0.05473204104903079,1052400,0.0125,0.375,0.21892816419612315,0
9252,5,5,223,3,2,0,3,4382,0,0,0,1,0,1,0.05089000456412597,977186,0.013452914798206279,1.25,0.20356001825650388,0
2581,5,2,236,2,1,1,24,3679,0,0,1,0,1,0,0.06414786626800761,868244,0.1016949152542373,1.6666666666666667,1.6036966567001905,1
3079,4,5,135,2,1,1,60,1026,0,0,1,0,0,1,0.13157894736842105,138510,0.4444444444444444,1.3333333333333333,8.026315789473683,1
5100,3,5,275,3,1,1,6,5148,0,0,0,1,0,1,0.053418803418803416,1415700,0.02181818181818182,0.75,0.37393162393162394,0
7750,3,1,131,4,1,1,1,1628,1,0,0,0,0,1,0.08046683046683047,213268,0.007633587786259542,0.6,0.16093366093366093,0
508,5,3,230,3,2,0,3,2923,1,0,0,0,0,1,0.07868628121792678,672290,0.013043478260869565,1.25,0.31474512487170714,1
6426,3,3,259,2,0,1,8,4481,0,0,0,1,1,0,0.05779959830395001,1160579,0.03088803088803089,1.0,0.5201963847355501,0
2040,5,2,202,3,2,1,34,3885,0,0,0,1,1,0,0.051994851994851994,784770,0.16831683168316833,1.25,1.8198198198198199,1
1603,6,4,241,6,0,0,61,2806,0,0,1,0,0,1,0.08588738417676407,676246,0.25311203319502074,0.8571428571428571,5.325017818959372,1
3445,2,2,240,5,1,1,7,4138,0,0,1,0,0,1,0.05799903334944417,993120,0.029166666666666667,0.3333333333333333,0.4639922667955534,1
20,4,5,145,3,2,1,45,1059,0,0,0,1,0,1,0.1369216241737488,153555,0.3103448275862069,1.0,6.2983947119924455,1
9699,4,2,231,5,1,0,2,1465,0,0,0,0,0,1,0.157679180887372,338415,0.008658008658008658,0.6666666666666666,0.47303754266211606,1
10435,3,5,286,6,0,1,8,4777,0,0,1,0,0,1,0.05987021142976764,1366222,0.027972027972027972,0.42857142857142855,0.5388319028679087,0
5641,4,2,227,5,2,1,6,4618,0,0,1,0,0,1,0.049155478562148115,1048286,0.02643171806167401,0.6666666666666666,0.3440883499350368,0
4696,3,1,230,2,1,0,1,4970,1,0,0,0,0,1,0.04627766599597585,1143100,0.004347826086956522,1.0,0.0925553319919517,1
8014,6,4,254,4,1,1,9,1594,1,0,0,0,0,1,0.15934755332496864,404876,0.03543307086614173,1.2,1.5934755332496864,0
3544,5,5,265,3,0,0,3,5837,1,0,0,0,1,0,0.045400034264176804,1546805,0.011320754716981131,1.25,0.18160013705670722,1
1493,5,1,105,5,1,1,1,1101,0,1,0,0,1,0,0.09536784741144415,115605,0.009523809523809525,0.8333333333333334,0.1907356948228883,1
10058,4,2,210,2,2,0,1,5437,0,0,0,1,0,1,0.038624241309545705,1141770,0.004761904761904762,1.3333333333333333,0.07724848261909141,1
5173,3,2,201,3,0,1,6,5165,0,0,1,0,0,1,0.03891577928363989,1038165,0.029850746268656716,0.75,0.2724104549854792,1
3885,3,4,187,2,2,1,4,5139,0,0,0,0,0,1,0.0363884024129208,960993,0.0213903743315508,1.0,0.181942012064604,1
2571,3,3,179,3,2,0,41,1892,0,0,0,0,0,1,0.09460887949260043,338668,0.22905027932960895,0.75,3.973572938689218,1
9356,6,4,257,4,1,0,4,1451,0,0,0,1,0,1,0.17711922811853895,372907,0.01556420233463035,1.2,0.8855961405926948,0
324,3,1,192,2,1,1,33,2818,0,0,0,1,0,1,0.06813342796309439,541056,0.171875,1.0,2.316536550745209,1
4188,4,4,206,3,2,0,10,4262,0,0,0,1,0,1,0.04833411543876114,877972,0.04854368932038835,1.0,0.5316752698263726,0
370,3,5,257,3,2,0,19,2173,1,0,0,0,0,1,0.11826967326277037,558461,0.07392996108949416,0.75,2.365393465255407,1
2901,3,3,274,3,1,1,6,2986,0,0,0,0,0,1,0.09176155391828533,818164,0.021897810218978103,0.75,0.6423308774279973,1
10004,3,5,125,2,1,0,2,4182,0,0,0,1,0,0,0.029890004782400764,522750,0.016,1.0,0.08967001434720229,1
2271,4,2,251,3,1,0,10,3517,0,0,0,0,0,1,0.07136764287745237,882767,0.0398406374501992,1.0,0.7850440716519761,1
8261,6,5,264,4,2,0,9,1922,0,1,0,0,0,1,0.13735691987513007,507408,0.03409090909090909,1.2,1.3735691987513008,1
2902,4,1,216,4,1,1,4,2263,1,0,0,0,0,1,0.09544851966416261,488808,0.018518518518518517,0.8,0.47724259832081306,1
7323,4,3,178,3,2,1,6,4576,0,0,0,0,0,1,0.0388986013986014,814528,0.033707865168539325,1.0,0.2722902097902098,0
3945,3,5,159,2,2,1,6,5804,0,0,0,0,0,1,0.02739490006891799,922836,0.03773584905660377,1.0,0.19176430048242593,0
4071,4,4,129,6,2,0,7,4873,0,0,0,0,0,1,0.026472398932895547,628617,0.05426356589147287,0.5714285714285714,0.21177919146316437,1
3154,3,2,153,10,0,1,2,5455,1,0,0,0,0,0,0.028047662694775436,834615,0.013071895424836602,0.2727272727272727,0.08414298808432631,0
9132,6,3,256,4,1,0,9,1212,0,0,0,1,0,1,0.21122112211221122,310272,0.03515625,1.2,2.112211221122112,1
5414,4,5,199,2,1,0,8,4463,0,0,0,1,0,1,0.044588841586376875,888137,0.04020100502512563,1.3333333333333333,0.4012995742773919,0
3944,4,5,222,2,2,1,2,4425,0,0,0,1,0,1,0.05016949152542373,982350,0.009009009009009009,1.3333333333333333,0.1505084745762712,0
6006,6,4,292,4,1,1,3,1826,0,0,0,1,1,0,0.15991237677984665,533192,0.010273972602739725,1.2,0.6396495071193866,1
2079,3,5,271,4,1,0,10,1679,0,0,0,0,0,1,0.16140559857057774,455009,0.03690036900369004,0.6,1.775461584276355,1
9389,6,3,141,3,1,1,7,5222,0,1,0,0,0,1,0.027001148985063193,736302,0.04964539007092199,1.5,0.21600919188050555,1
5315,3,5,181,4,0,0,1,4971,0,1,0,0,0,1,0.036411184872259104,899751,0.0055248618784530384,0.6,0.07282236974451821,1
2315,6,2,134,8,0,1,42,1054,0,1,0,0,1,0,0.127134724857685,141236,0.31343283582089554,0.6666666666666666,5.466793168880455,1
3088,4,1,233,2,2,0,60,2671,1,0,0,0,0,1,0.08723324597529016,622343,0.2575107296137339,1.3333333333333333,5.321228004492699,1
9011,4,2,210,3,1,1,8,5672,0,1,0,0,0,1,0.03702397743300423,1191120,0.0380952380952381,1.0,0.33321579689703806,1
9962,5,4,256,5,1,1,2,1723,0,0,0,1,0,1,0.1485780615206036,441088,0.0078125,0.8333333333333334,0.4457341845618108,1
5926,6,5,280,3,1,1,9,4074,1,0,0,0,0,1,0.06872852233676977,1140720,0.03214285714285714,1.5,0.6872852233676976,1
8916,7,4,270,4,2,0,5,1735,0,0,0,1,0,0,0.15561959654178675,468450,0.018518518518518517,1.4,0.9337175792507205,0
4309,4,3,224,3,2,0,9,5283,0,0,1,0,0,1,0.04240015142911225,1183392,0.04017857142857143,1.0,0.4240015142911225,1
2596,4,2,168,3,1,1,59,1717,1,0,0,0,1,0,0.0978450786255096,288456,0.35119047619047616,1.0,5.870704717530576,1
1268,3,2,233,5,1,1,44,2010,0,0,0,1,0,1,0.11592039800995024,468330,0.1888412017167382,0.5,5.216417910447761,1
3870,5,5,253,2,2,0,2,4364,0,0,0,1,0,1,0.057974335472043996,1104092,0.007905138339920948,1.6666666666666667,0.17392300641613198,0
6246,5,5,216,4,2,0,1,4092,0,0,0,1,0,1,0.05278592375366569,883872,0.004629629629629629,1.0,0.10557184750733138,1
